"","index","employees.employee.employment.public.union.board.political.labor.employer.government","general.attorney.briefs.solicitor.argued.assistant.cause.curiae.brief.jr","communist.party.organization.board.foreign.registration.act.control.movement.organizations","school.religious.schools.student.establishment.religion.students.forum.program.university","grand.jury.press.information.footnote.privilege.news.criminal.sources.investigation","mr.debate.senator.clause.legislative.said.privilege.plaintiff.office.house","act.congress.committee.answer.service.inquiry.president.united.questions.security","opinion.filed.joined.district.post.respondents.held.argued.dissenting.jj","speech.government.interest.act.interests.governmental.opinion.case.united.states","advertising.commercial.speech.regulations.information.central.cable.marketing.interest.broadcasting","candidates.candidate.political.election.footnote.contributions.party.expenditures.contribution.campaign","injunction.review.maryland.district.restraint.prior.judicial.order.footnote.relief","limits.federal.election.buckley.bcra.contributions.campaign.political.candidates.candidate","affirmed.syllabus.decided.argued.freedom.held.act.law.case.reversed","false.statements.jury.damages.petitioner.malice.times.respondent.actual.trial","solicitation.charitable.fraud.paid.fee.organizations.requirement.telemarketers.circulators.north","flag.words.peace.conviction.ohio.convicted.conduct.street.symbol.group","obscene.obscenity.material.materials.film.sexual.standards.films.indecent.minors","religious.tax.prison.religion.inmates.rfra.exercise.burden.inmate.sales","ordinance.city.picketing.public.streets.ordinances.park.police.permit.regulation","syllabus","caseName"
"138",137,0.0212765957446809,0,0,0,0,0,0.0638297872340425,0.0851063829787234,0,0.0212765957446809,0.0212765957446809,0.0851063829787234,0,0.680851063829787,0,0.0212765957446809,0,0,0,0,"syllabus138","BROTHERHOOD OF RAILROAD TRAINMEN v. VIRGINIA ex rel. VIRGINIA STATE BAR"
"139",138,0.005,0,0.025,0,0.005,0.02,0,0.13,0,0,0,0.255,0.025,0.535,0,0,0,0,0,0,"syllabus139","NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE v. ALABAMA ex rel. FLOWERS, ATTORNEY GENERAL"
"140",139,0.1,0.00588235294117647,0.205882352941176,0.0117647058823529,0,0.00588235294117647,0,0,0,0.00588235294117647,0,0,0,0.6,0,0,0.0588235294117647,0.00588235294117647,0,0,"syllabus140","BAGGETT et al. v. BULLITT et al."
"141",140,0,0,0,0,0,0,0,0.151515151515152,0,0,0,0,0,0.363636363636364,0,0,0.0909090909090909,0.393939393939394,0,0,"syllabus141","JACOBELLIS v. OHIO"
"142",141,0,0,0.0300751879699248,0,0.0075187969924812,0,0,0.135338345864662,0,0,0,0.62406015037594,0,0.0225563909774436,0,0,0,0.172932330827068,0,0.0075187969924812,"syllabus142","A QUANTITY OF COPIES OF BOOKS et al. v. KANSAS"
"143",142,0,0,0.287292817679558,0,0,0,0.165745856353591,0.12707182320442,0.193370165745856,0,0.00552486187845304,0,0,0.176795580110497,0,0,0,0,0,0.0441988950276243,"syllabus143","APTHEKER et al. v. SECRETARY OF STATE"
"144",143,0,0,0,0,0,0,0.0101010101010101,0.0101010101010101,0,0,0.0101010101010101,0,0,0.383838383838384,0.565656565656566,0,0,0,0.0202020202020202,0,"syllabus144","GARRISON v. LOUISIANA"
"145",144,0,0,0,0.00819672131147541,0,0,0,0,0.00409836065573771,0.00819672131147541,0,0,0,0.225409836065574,0,0.00409836065573771,0.55327868852459,0.00409836065573771,0,0.192622950819672,"syllabus145","COX v. LOUISIANA"
"146",145,0,0,0.00869565217391304,0,0.0347826086956522,0.0260869565217391,0,0,0.165217391304348,0,0,0,0.00869565217391304,0.165217391304348,0,0,0.443478260869565,0,0,0.147826086956522,"syllabus146","COX v. LOUISIANA"
"147",146,0,0,0,0,0,0,0,0.21259842519685,0,0,0,0.582677165354331,0,0.0393700787401575,0.0078740157480315,0,0.015748031496063,0.141732283464567,0,0,"syllabus147","FREEDMAN v. MARYLAND"
"148",147,0,0,0.241176470588235,0,0,0,0.0235294117647059,0.179411764705882,0,0,0,0.111764705882353,0,0.211764705882353,0,0,0.229411764705882,0,0.00294117647058824,0,"syllabus148","DOMBROWSKI et al. v. PFISTER, CHAIRMAN, JOINT LEGISLATIVE COMMITTEE ON UNAMERICAN ACTIVITIES OF THE LOUISIANA LEGISLATURE, et al."
"149",148,0,0,0.7125,0.00416666666666667,0,0,0,0.2375,0,0,0,0.0166666666666667,0.00416666666666667,0.0208333333333333,0,0,0,0,0,0.00416666666666667,"syllabus149","AMERICAN COMMITTEE FOR PROTECTION OF FOREIGN BORN v. SUBVERSIVE ACTIVITIES CONTROL BOARD"
"150",149,0,0,0.00460829493087558,0,0,0,0.451612903225806,0.133640552995392,0.119815668202765,0,0,0.0184331797235023,0.00921658986175115,0.262672811059908,0,0,0,0,0,0,"syllabus150","ZEMEL v. RUSK, SECRETARY OF STATE, et al."
"151",150,0.103896103896104,0.012987012987013,0,0,0,0.012987012987013,0,0.25974025974026,0,0,0,0.324675324675325,0,0.285714285714286,0,0,0,0,0,0,"syllabus151","LAMONT, DBA BASIC PAMPHLETS v. POSTMASTER GENERAL"
"152",151,0,0.0547945205479452,0.0136986301369863,0.0136986301369863,0,0,0,0.438356164383562,0,0,0,0.0410958904109589,0,0.205479452054795,0,0,0.232876712328767,0,0,0,"syllabus152","CAMERON et al. v. JOHNSON, GOVERNOR OF MISSISSIPPI, et al."
"153",152,0,0.00403225806451613,0.495967741935484,0,0,0.00403225806451613,0.258064516129032,0.173387096774194,0,0.00403225806451613,0.00403225806451613,0,0,0.0524193548387097,0,0,0,0,0.00403225806451613,0,"syllabus153","ALBERTSON et al. v. SUBVERSIVE ACTIVITIES CONTROL BOARD"
"154",153,0.0377358490566038,0.00377358490566038,0,0,0,0,0,0.0188679245283019,0.105660377358491,0,0,0.00377358490566038,0,0,0.830188679245283,0,0,0,0,0,"syllabus154","ROSENBLATT v. BAER"
